"Gellish";"English";"Version:";"8.4";"8-aug-13";"domain dictionary";"WWW namespaces mappings";60000;69999;1060000;1069999;;;;;;;;;;;;;;;;
0;69;54;71;16;2;101;;;1;60;3;15;201;65;4;14;8;67;9;10;12;13;50;68;;
"Presentation sequence";"UID of language of left hand object name";"Language of left hand object name";"UID of language community for left hand object name";"Name of language community for left hand object name";"UID of left hand object";"Name of left hand object";"Phrase (label)";"Inverse phrase (label)";"UID of fact";"UID of relation type";"Name of relation
type";"UID of right hand object";"Name of right hand object";"Partial description";"Full description";"Remarks";"Status";"Successor of relation ID";"Date of start of life";"Date of latest change";"Originator of latest change";"Reference";"UID of collection of facts";"Name of collection of facts";"Gellish base phrase";"Gellish inverse phrase"
46;910036;"English";;;;"OntologyProperty";;;1060089;1981;"is a synonym of";;"possession of an aspect";;;"any object in Gellish can have a property";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Annotation Properties";;;"has as aspect";
47;910036;"English";;;4846;"oneOf, dataRange";;;1060090;1981;"is a synonym of";4846;"common options for possession of an aspect";;;"in Gellish a property can be a range";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Class Axioms";;;"shall be one of the";
48;910036;"English";;;;"disjointWith";;;1060091;1981;"is a synonym of";;;;;"disjoint can be a qualification of a collection in Gellish";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Class Axioms";;;;
49;910036;"English";;;2853;"unionOf";;;1060092;1981;"is a synonym of";2853;"union in set";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Boolean Combinations of Class Expressions";;;"is a union of the elements of";
50;910036;"English";;;;"complementOf";;;1060093;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Boolean Combinations of Class Expressions";;;;
51;910036;"English";;;4703;"hasValue";;;1060094;1981;"is a synonym of";4703;"qualification of an aspect";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Filler Information";;;"is qualified as";
52;910036;"English";589265;"XML Schema";911501;"xsd:string";;;1060095;1981;"is a synonym of";911501;"string";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
53;910036;"English";589265;"XML Schema";;"xsd:normalizedString";;;1060096;1981;"is a synonym of";;;;;"classes of encoding";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
54;910036;"English";589265;"XML Schema";920246;"xsd:boolean";;;1060097;1981;"is a synonym of";920246;"boolean";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
55;910036;"English";589265;"XML Schema";790588;"xsd:decimal";;;1060098;1981;"is a synonym of";790588;"decimal";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
56;910036;"English";589265;"XML Schema";;"xsd:float";;;1060099;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
57;910036;"English";589265;"XML Schema";;"xsd:double";;;1060100;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
58;910036;"English";589265;"XML Schema";920005;"xsd:integer";;;1060101;1981;"is a synonym of";920005;"integer";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
59;910036;"English";589265;"XML Schema";;"xsd:nonNegativeInteger";;;1060102;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
60;910036;"English";589265;"XML Schema";;"xsd:positiveInteger";;;1060103;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
61;910036;"English";589265;"XML Schema";;"xsd:nonPositiveInteger";;;1060104;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
62;910036;"English";589265;"XML Schema";;"xsd:negativeInteger";;;1060105;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
63;910036;"English";589265;"XML Schema";;"xsd:long";;;1060106;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
64;910036;"English";589265;"XML Schema";;"xsd:int";;;1060107;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
65;910036;"English";589265;"XML Schema";;"xsd:short";;;1060108;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
66;910036;"English";589265;"XML Schema";570507;"xsd:byte";;;1060109;1981;"is a synonym of";570507;"byte";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
67;910036;"English";589265;"XML Schema";;"xsd:unsignedLong";;;1060110;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
68;910036;"English";589265;"XML Schema";;"xsd:unsignedInt";;;1060111;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
69;910036;"English";589265;"XML Schema";;"xsd:unsignedShort";;;1060112;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
70;910036;"English";589265;"XML Schema";;"xsd:unsignedByte";;;1060113;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
71;910036;"English";589265;"XML Schema";;"xsd:hexBinary";;;1060114;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
72;910036;"English";589265;"XML Schema";;"xsd:base64Binary";;;1060115;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
73;910036;"English";589265;"XML Schema";550023;"xsd:dateTime";;;1060116;1981;"is a synonym of";550023;"point in time";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
74;910036;"English";589265;"XML Schema";1358;"xsd:time";;;1060117;1981;"is a synonym of";1358;"time";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
75;910036;"English";589265;"XML Schema";550571;"xsd:date";;;1060118;1981;"is a synonym of";550571;"date";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
76;910036;"English";589265;"XML Schema";;"xsd:gYearMonth";;;1060119;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
77;910036;"English";589265;"XML Schema";;"xsd:gYear";;;1060120;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
78;910036;"English";589265;"XML Schema";;"xsd:gMonthDay";;;1060121;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
79;910036;"English";589265;"XML Schema";;"xsd:gDay";;;1060122;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
80;910036;"English";589265;"XML Schema";;"xsd:gMonth";;;1060123;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
81;910036;"English";589265;"XML Schema";;"xsd:anyURI";;;1060124;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
82;910036;"English";589265;"XML Schema";;"xsd:token";;;1060125;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
83;910036;"English";589265;"XML Schema";911052;"xsd:language";;;1060126;1981;"is a synonym of";911052;"language";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
84;910036;"English";589265;"XML Schema";;"xsd:NMTOKEN";;;1060127;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
85;910036;"English";589265;"XML Schema";910130;"xsd:Name";;;1060128;1981;"is a synonym of";910130;"name";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
86;910036;"English";589265;"XML Schema";;"xsd:NCName";;;1060129;1981;"is a synonym of";;;;;;"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";;;;;
87;910036;"English";589262;"RDF";493676;"rdf Graph";;;1060130;1981;"is a synonym of";493676;"collection of expressions";;;;;;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:compliesWith";"complies with ";"defines compliance criteria for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:concernsCharacteristic";"concerns characteristic";"characteristic is concern of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:concernsStage";"concerns stage";"stage is concern of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:consistOf";"consists of ";"is part of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:contributesToTheRealizationOf";"contributes to the realization of ";"is partially realized by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:creates";"creates ";"is created by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:definesTheDeliveryOf";"defines the delivery of ";"delivery is defined in ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:deviatesfrom";"deviates from ";"has deviation ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"domain is restricted by class";"class restricts domain";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"follows route";"is route for";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has acceptance criterion ";"is acceptance criterion for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has as author";"is author of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has as lower bound ";"is lower bound for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has as output ";"is output of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has as source ";"is source of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has as upper bound ";"is upper bound for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has begin of life";"is beginning of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has cardinality";"is cardinality of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has cause";"is caused by";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has certainty";"is certanty of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has consequence";"is consequence of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has consequence if not fulfilled ";"is consequence of non-fulfilment of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has effect";"is effect of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has end of life";"is the ending of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has feature";"is a feature of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has intention";"is intention of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has issue ";"is issue of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has magnitude ";"is magnitude of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has max cardinality";"is max cardinality of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has milestone ";"is milestone for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has min cardinality";"is min cardinality of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has modality";"is modality of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has production method ";"is a production method for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has property ";"is property of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has remaining risk ";"is remaining risk for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has role";"is a role of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has scope of verification ";"is scope of verification of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has status ";"is status of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has subject";"is subject of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has topology ";"is a topology for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has version";"is a version of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is a failure to perform ";"has as failure to perform ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is a specialization of ";"is a generalization of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is a specification for ";"is specified by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is a state of";"has state";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is a supplement of";"Is supplemented by
";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is achieved by ";"contributes to achieve ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is an addition to ";"has addition ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is approved by";"is approver for";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is arranged in";"is arrangement for";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is based on technology ";"is technology base for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is clarified by ";"clarifies ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is connected with";"is connected by";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is contractor for ";"has as contractor ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is controlled by ";"controller of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is defined by ";"defines ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is derived from ";"is derived into ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is described in ";"describes ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is executed by";"is executer of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is followed by  ";"follows";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is fulfilled by";"fulfilles";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is identified by ";"identifies ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"Is indicated by";"is indication for";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is initiated by";"is initiator for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is input for ";"has as input ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is installed as ";"is materialized by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is instance of ";"is classifier for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is justified by ";"justifies ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is located at ";"is location for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is managed by ";"is manager of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is met by ";"has requirement ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is mitigated by ";"mitigates ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is of material";"is material for";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is performed by  ";"is performer of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is performed on";"has performance ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is precondition for ";"has as precondition ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is principal for ";"has as principal ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is quantified in ";"quantifies ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is raised by ";"is initiator for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is realized by ";"is realization of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is reason for ";"has as reason ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is received by";"is receiver of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is released by";"is releaser of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is represented in ";"represents ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is scheduled in ";"is schedule for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is send by";"is sender of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is source of ";"has as source ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is spare part for";"has as spare part";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is temporal part of ";"is the temporal whole for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is the client for ";"has as client ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is the manufacturers model for ";"is the base for manufacturers model ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is the responsibility of ";"has as responsibility ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is third party for ";"has as third party ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is threatened by ";"threatens ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is type of";"is type for";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is used in ";"uses ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is verified by ";"verifies ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"marks acceptance of ";"acceptance is marked by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"marks the completion of ";"completion is marked by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"participates in ";"has as participant ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"passes";"is passed by";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"performs function";"function is performed by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"range is restricted by class";"class restricts range";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"requires to deliver ";"is a required deliverable of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"result in a signal ";"signal is the result of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"results in ";"is the result of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"results in the generation of ";"generation is the result of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"shall be compliant with ";"is a compliancy criterion for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"supports";"is supported by";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"takes place during ";"is period in time for ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"used to check ";"is checked by ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has reverse label";"is reverse label of";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"consists of by class ";"is part of by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has as output ";"is output of by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has cause by class ";"is caused by by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has consequence by class ";"is consequence of by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has consequence if not fulfilled ";"is consequence of non-fulfilment of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has effect by class ";"is effect of by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has property by class ";"is property by class of ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"has status by class ";"is status of by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is followed by class by ";"follows by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is input for by class ";"has as input by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is of material by class";"is material for";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is performed by class by ";"is performer of by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is performed on by class ";"has performance by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is realized by class by ";"is realization of by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is reason for by class ";"has as reason by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"is spare part by class for ";"has as spare part by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"performs function by class ";"function is performed by by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"supports by class ";"is supported by by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
88;910036;"English";589274;"ISO 15926-11";;"rdl:";"used to check by class ";"is checked by by class ";;1981;"is a synonym of";;;;;;"ignore";;;;;;;;;
