"Gellish";"English";"Version:";"8.4";"8-aug-13";"domain dictionary";"WWW namespaces mappings";60000;69999;1060000;1069999;;;;;;;;;;;;;;;;
0;69;54;71;16;2;101;;;1;60;3;15;201;65;4;14;8;67;9;10;12;13;50;68;;
"Presentation sequence";"UID of language of left hand object name";"Language of left hand object name";"UID of language community for left hand object name";"Name of language community for left hand object name";"UID of left hand object";"Name of left hand object";"Phrase (label)";"Inverse phrase (label)";"UID of fact";"UID of relation type";"Name of relation
type";"UID of right hand object";"Name of right hand object";"Partial description";"Full description";"Remarks";"Status";"Successor of relation ID";"Date of start of life";"Date of latest change";"Originator of latest change";"Reference";"UID of collection of facts";"Name of collection of facts";"Gellish base phrase";"Gellish inverse phrase"
6;910036;"English";492014;"Gellish";60006;"unordered collection";;;1060018;1146;"is a specialization of";2849;"collection";;"is the class of RDF 'Bag' containers. It is a subclass of rdfs:Container. Whilst formally it is no different from an rdf:Seq or an rdf:Alt, the rdf:Bag class is used conventionally to indicate to a human reader that the container is intended to be unordered.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";60006;"rdf:Bag";;;1060019;1981;"is a synonym of";60006;"unordered collection";;"is the class of RDF 'Bag' containers. It is a subclass of rdfs:Container. Whilst formally it is no different from an rdf:Seq or an rdf:Alt, the rdf:Bag class is used conventionally to indicate to a human reader that the container is intended to be unordered.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";5302;"rdf:Seq";;;1060020;1981;"is a synonym of";5302;"ordered collection";;"is the class of RDF 'Sequence' containers. It is a subclass of rdfs:Container. Whilst formally it is no different from an rdf:Bag or an rdf:Alt, the rdf:Seq class is used conventionally to indicate to a human reader that the numerical ordering of the container membership properties of the container is intended to be significant.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";492014;"Gellish";60007;"alternative ordered collection";;;1060021;1146;"is a specialization of";5302;"ordered collection";;"is the class of RDF 'Alternative' containers. It is a subclass of rdfs:Container. Whilst formally it is no different from an rdf:Seq or an rdf:Bag, the rdf:Alt class is used conventionally to indicate to a human reader that typical processing will be to select one of the members of the container. The first member of the container, i.e. the value of the rdf:_1 property, is the default choice.";"in fact a role of an ordered collection as being an alternative for another ordered collection.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";60007;"rdf:Alt";;;1060022;1981;"is a synonym of";60007;"alternative ordered collection";;"is the class of RDF 'Alternative' containers. It is a subclass of rdfs:Container. Whilst formally it is no different from an rdf:Seq or an rdf:Bag, the rdf:Alt class is used conventionally to indicate to a human reader that typical processing will be to select one of the members of the container. The first member of the container, i.e. the value of the rdf:_1 property, is the default choice.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589263;"RDFS";2846;"rdfs:ContainerMembershipProperty";;;1060023;1981;"is a synonym of";2846;"collection relation";;"has as instances the properties rdf:_1, rdf:_2, rdf:_3 ... that are used to state that a resource is a member of a container. rdfs:ContainerMembershipProperty is a subclass of rdf:Property. Each instance of rdfs:ContainerMembershipProperty is an rdfs:subPropertyOf the rdfs:member property.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";492014;"Gellish";60008;"membership";;;1060024;1146;"is a specialization of";5322;"relation between a single thing and a plural object";;"is an instance of rdf:Property that is a super-property of all the container membership properties i.e. each container membership property has an rdfs:subPropertyOf relationship to the property rdfs:member.";"Domain and range are both rdfs:Resource, which implies that anything can be an element (member) of anything. Thus anything can act as a collection!?";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589263;"RDFS";60008;"rdfs:member";;;1060025;1981;"is a synonym of";60008;"membership";;"is an instance of rdf:Property that is a super-property of all the container membership properties i.e. each container membership property has an rdfs:subPropertyOf relationship to the property rdfs:member.";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";5302;"rdf:List";;;1060026;1981;"is a synonym of";5302;"ordered collection";;"is an instance of rdfs:Class that can be used to build descriptions of lists and other list-like structures. ";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
6;910036;"English";589262;"RDF";5331;"rdf:first";;;1060027;1981;"is a synonym of";5331;"arrangement relation between a first element and its collection";;"is an instance of rdf:Property that can be used to build descriptions of lists and other list-like structures. ";;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"RDF Schema Features";;;"is related to";
